frame,sensor_ts_s,t_s
259,92.351969,3.090389
260,92.368646,3.107066
261,92.385312,3.123732
262,92.401980,3.140400
263,92.418647,3.157067
264,92.435320,3.173740
265,92.451990,3.190410
266,92.468657,3.207077
267,92.485337,3.223757
268,92.501996,3.240416
269,92.518664,3.257084
270,92.535336,3.273756
271,92.552003,3.290423
272,92.568673,3.307093
273,92.585346,3.323766
274,92.602016,3.340436
275,92.618681,3.357101
276,92.635354,3.373774
277,92.652025,3.390445
278,92.668692,3.407112
279,92.685361,3.423781
280,92.702031,3.440451
281,92.718705,3.457125
282,92.735370,3.473790
283,92.752050,3.490470
284,92.768707,3.507127
285,92.785379,3.523799
286,92.802049,3.540469
287,92.818718,3.557138
288,92.835386,3.573806
289,92.852061,3.590481
290,92.868727,3.607147
291,92.885397,3.623817
292,92.902063,3.640483
293,92.918734,3.657154
294,92.935399,3.673819
295,92.952070,3.690490
296,92.968741,3.707161
297,92.985406,3.723826
298,93.002077,3.740497
299,93.018743,3.757163
300,93.035413,3.773833
301,93.052082,3.790502
302,93.068751,3.807171
303,93.085418,3.823838
304,93.102084,3.840504
305,93.118753,3.857173
306,93.135422,3.873842
307,93.152091,3.890511
308,93.168761,3.907181
309,93.185426,3.923846
310,93.202098,3.940518
311,93.218763,3.957183
312,93.235432,3.973852
313,93.252099,3.990519
314,93.268773,4.007193
315,93.285437,4.023857
316,93.302104,4.040524
317,93.318773,4.057193
318,93.335440,4.073860
319,93.352110,4.090530
320,93.368778,4.107198
321,93.385447,4.123867
322,93.402114,4.140534
323,93.418783,4.157203
324,93.435453,4.173873
325,93.452119,4.190539
326,93.468788,4.207208
327,93.485454,4.223874
328,93.502124,4.240544
329,93.518799,4.257219
330,93.535471,4.273891
331,93.552127,4.290547
332,93.568798,4.307218
333,93.585464,4.323884
334,93.602135,4.340555
335,93.618803,4.357223
336,93.635472,4.373892
337,93.652137,4.390557
338,93.668808,4.407228
339,93.685475,4.423895
340,93.702142,4.440562
341,93.718810,4.457230
342,93.735478,4.473898
343,93.752146,4.490566
344,93.768816,4.507236
345,93.785482,4.523902
346,93.802153,4.540573
347,93.818822,4.557242
348,93.835487,4.573907
349,93.852157,4.590577
350,93.868824,4.607244
351,93.885494,4.623914
352,93.902163,4.640583
353,93.918829,4.657249
354,93.935499,4.673919
355,93.952165,4.690585
356,93.968832,4.707252
357,93.985500,4.723920
358,94.002166,4.740586
359,94.018836,4.757256
360,94.035501,4.773921
361,94.052169,4.790589
362,94.068839,4.807259
363,94.085502,4.823922
364,94.102170,4.840590
365,94.118839,4.857259
366,94.135504,4.873924
367,94.152175,4.890595
368,94.168840,4.907260
369,94.185506,4.923926
370,94.202174,4.940594
371,94.218839,4.957259
372,94.235506,4.973926
373,94.252175,4.990595
374,94.268843,5.007263
375,94.285510,5.023930
376,94.302176,5.040596
377,94.318840,5.057260
378,94.335507,5.073927
379,94.352175,5.090595
380,94.368843,5.107263
381,94.385508,5.123928
382,94.402177,5.140597
383,94.418859,5.157279
384,94.435511,5.173931
385,94.452179,5.190599
386,94.468847,5.207267
387,94.485511,5.223931
388,94.502178,5.240598
389,94.518857,5.257277
390,94.535512,5.273932
391,94.552182,5.290602
392,94.568849,5.307269
393,94.585514,5.323934
394,94.602181,5.340601
395,94.618859,5.357279
396,94.635517,5.373937
397,94.652185,5.390605
398,94.668851,5.407271
399,94.685517,5.423937
400,94.702186,5.440606
401,94.718856,5.457276
402,94.735518,5.473938
403,94.752191,5.490611
