t_s,ax,ay,az,gx,gy,gz,led
0.000403,-0.6273,0.2490,9.8689,-0.0333,-0.0093,0.0370,0
0.004837,-0.6369,0.2011,9.8785,-0.0341,-0.0168,0.0381,0
0.008061,-0.6129,0.2059,9.8881,-0.0341,-0.0107,0.0392,0
0.011324,-0.5411,0.1963,9.9024,-0.0325,-0.0181,0.0394,0
0.015589,-0.6225,0.2634,9.8162,-0.0352,-0.0173,0.0437,0
0.019526,-0.6033,0.1867,9.8976,-0.0352,-0.0211,0.0413,0
0.022619,-0.5698,0.2921,9.9072,-0.0306,-0.0232,0.0386,0
0.025893,-0.5602,0.2394,9.8066,-0.0338,-0.0250,0.0368,0
0.028926,-0.5698,0.2538,9.8066,-0.0322,-0.0242,0.0408,0
0.032571,-0.5890,0.2586,9.8306,-0.0314,-0.0256,0.0352,0
0.036718,-0.5076,0.3017,9.8066,-0.0266,-0.0336,0.0368,0
0.040450,-0.5171,0.2969,9.8785,-0.0288,-0.0341,0.0309,0
0.044503,-0.5363,0.3065,9.8641,-0.0258,-0.0333,0.0280,0
0.049092,-0.5555,0.3112,9.8737,-0.0264,-0.0389,0.0282,0
0.052856,-0.5219,0.3352,9.8593,-0.0208,-0.0416,0.0240,0
0.056119,-0.5459,0.3208,9.9168,-0.0211,-0.0368,0.0253,0
0.059478,-0.5938,0.2969,9.8737,-0.0197,-0.0386,0.0216,0
0.062456,-0.5746,0.3304,9.9120,-0.0192,-0.0434,0.0208,0
0.066065,-0.5746,0.2921,9.9120,-0.0157,-0.0461,0.0240,0
0.069839,-0.5794,0.3112,9.9024,-0.0128,-0.0384,0.0229,0
0.073124,-0.5076,0.3017,9.9311,-0.0101,-0.0437,0.0224,0
0.076353,-0.5124,0.3112,9.9264,-0.0101,-0.0426,0.0176,0
0.080299,-0.5459,0.3400,9.9647,-0.0059,-0.0402,0.0229,0
0.084656,-0.6129,0.2586,9.9455,0.0000,-0.0448,0.0131,0
0.087819,-0.5794,0.3400,9.9359,0.0011,-0.0450,0.0149,0
0.091296,-0.6369,0.3017,9.9216,0.0011,-0.0496,0.0187,0
0.094300,-0.5076,0.2729,9.9551,0.0048,-0.0490,0.0091,0
0.097364,-0.6177,0.2107,9.9838,0.0011,-0.0485,0.0139,0
0.102379,-0.5938,0.2538,9.8737,0.0016,-0.0466,0.0157,0
0.105561,-0.6225,0.2346,9.8976,0.0056,-0.0586,0.0136,0
0.108650,-0.5890,0.2729,9.8881,0.0045,-0.0560,0.0123,0
0.112166,-0.6033,0.2155,9.8641,-0.0003,-0.0602,0.0152,0
0.117736,-0.5794,0.2155,9.9120,0.0093,-0.0640,0.0093,0
0.121062,-0.5794,0.2969,9.8928,0.0003,-0.0613,0.0123,0
0.124343,-0.6129,0.2107,9.8785,-0.0024,-0.0650,0.0101,0
0.127413,-0.5986,0.2059,9.8785,-0.0005,-0.0685,0.0139,0
0.130451,-0.6081,0.2634,9.8402,0.0069,-0.0698,0.0149,0
0.135569,-0.5650,0.2251,9.8641,0.0051,-0.0703,0.0101,0
0.138830,-0.6321,0.2059,9.8210,-0.0045,-0.0735,0.0061,0
0.142036,-0.5650,0.1676,9.8641,-0.0019,-0.0759,0.0056,0
0.146694,-0.5746,0.1245,9.7875,0.0024,-0.0762,0.0075,0
0.151731,-0.6225,0.1580,9.8450,-0.0021,-0.0695,0.0112,0
0.154878,-0.5746,0.2346,9.7971,-0.0021,-0.0735,0.0021,0
0.158136,-0.6033,0.1724,9.8306,-0.0037,-0.0754,0.0064,0
0.161191,-0.5650,0.1963,9.8545,0.0016,-0.0719,-0.0032,0
0.164394,-0.6081,0.1197,9.8066,0.0035,-0.0757,0.0024,0
0.168930,-0.5890,0.1820,9.8114,-0.0016,-0.0698,0.0013,0
0.172044,-0.6800,0.1484,9.8162,-0.0008,-0.0765,0.0008,0
0.175180,-0.5602,0.0814,9.8162,-0.0043,-0.0685,0.0029,0
0.178814,-0.5507,0.1724,9.8928,-0.0043,-0.0743,-0.0064,0
0.184587,-0.5650,0.1101,9.8402,-0.0013,-0.0711,0.0013,0
0.187848,-0.5507,0.1006,9.8833,-0.0008,-0.0725,0.0021,0
0.191148,-0.5794,0.1101,9.8641,-0.0037,-0.0743,-0.0056,0
0.194207,-0.6081,0.1053,9.8306,-0.0048,-0.0725,-0.0059,0
0.197269,-0.6129,0.1149,9.8354,-0.0077,-0.0701,-0.0045,0
0.202248,-0.5602,0.1484,9.8402,-0.0091,-0.0674,-0.0037,0
0.205479,-0.6273,0.0862,9.8881,-0.0112,-0.0711,-0.0115,0
0.208593,-0.6273,0.1820,9.8641,-0.0053,-0.0661,-0.0088,0
0.212087,-0.5842,0.1628,9.8689,-0.0056,-0.0616,-0.0115,0
0.217723,-0.6081,0.1197,9.8737,-0.0053,-0.0546,-0.0093,0
0.220964,-0.6416,0.1484,9.8593,-0.0037,-0.0613,-0.0048,0
0.224381,-0.6129,0.1341,9.8354,-0.0077,-0.0562,-0.0067,0
0.227375,-0.6895,0.1724,9.8402,-0.0072,-0.0549,-0.0067,0
0.230398,-0.6608,0.1915,9.8545,-0.0013,-0.0480,-0.0056,0
0.234539,-0.6560,0.1197,9.8833,-0.0019,-0.0512,-0.0035,0
0.237958,-0.6656,0.2394,9.8497,-0.0072,-0.0474,-0.0027,0
0.241210,-0.7039,0.2298,9.8066,-0.0072,-0.0485,-0.0016,0
0.244446,-0.6704,0.1772,9.7827,-0.0024,-0.0477,-0.0059,0
0.248905,-0.6416,0.1580,9.7971,-0.0048,-0.0421,0.0011,0
0.252650,-0.7230,0.2586,9.7540,-0.0037,-0.0402,0.0021,0
0.255872,-0.6656,0.1963,9.8450,-0.0088,-0.0280,0.0080,0
0.259123,-0.6608,0.1915,9.8210,-0.0021,-0.0370,0.0072,0
0.262167,-0.7135,0.2107,9.7923,-0.0040,-0.0314,0.0147,0
0.265978,-0.7230,0.2059,9.8354,-0.0061,-0.0218,0.0157,0
0.269646,-0.7326,0.2729,9.7923,-0.0016,-0.0208,0.0192,0
0.272932,-0.6991,0.2490,9.7779,-0.0008,-0.0213,0.0192,0
0.276167,-0.6033,0.2682,9.8210,0.0011,-0.0179,0.0187,0
0.279968,-0.6512,0.3735,9.8210,0.0045,-0.0187,0.0192,0
0.283997,-0.6608,0.3543,9.8354,0.0035,-0.0075,0.0213,0
0.287278,-0.5986,0.3208,9.8114,0.0061,-0.0075,0.0237,0
0.290683,-0.6416,0.3304,9.7827,0.0045,-0.0037,0.0168,0
0.293784,-0.6321,0.3926,9.8066,0.0088,-0.0048,0.0232,0
0.296829,-0.5938,0.3448,9.8258,0.0155,-0.0011,0.0173,0
