t_s,ax,ay,az,gx,gy,gz,led
0.322332,-0.0287,-0.0718,0.5938,0.0269,-0.3464,0.1772,1
0.327002,-0.0287,-0.0239,0.3879,0.0248,-0.3469,0.1684,1
0.330634,-0.0335,-0.0239,0.4453,0.0277,-0.3451,0.1769,1
0.335467,-0.0144,-0.0431,0.5842,0.0261,-0.3432,0.1753,1
0.338788,-0.0527,-0.0766,0.5890,0.0309,-0.3456,0.1775,1
0.343717,-0.0287,-0.0862,0.5746,0.0306,-0.3400,0.1767,1
0.347846,-0.0383,-0.1006,0.5076,0.0338,-0.3389,0.1753,1
0.351649,-0.0575,-0.0479,0.5411,0.0344,-0.3451,0.1743,1
0.356848,-0.0766,-0.0431,0.6081,0.0330,-0.3352,0.1740,1
0.361149,-0.0527,-0.1341,0.5746,0.0378,-0.3408,0.1772,1
0.364530,-0.1006,-0.0958,0.6129,0.0400,-0.3349,0.1745,1
0.367806,-0.0287,-0.0479,0.4932,0.0346,-0.3416,0.1761,1
0.371718,-0.0527,-0.0527,0.5555,0.0405,-0.3288,0.1761,1
0.376896,-0.0814,-0.0862,0.6656,0.0394,-0.3317,0.1719,1
0.380978,-0.0575,-0.0814,0.5986,0.0464,-0.3317,0.1708,1
0.385061,-0.0622,-0.1053,0.5698,0.0421,-0.3328,0.1748,1
0.390655,-0.0192,-0.0910,0.5698,0.0442,-0.3275,0.1732,1
0.394799,-0.0431,-0.0048,0.5986,0.0485,-0.3288,0.1703,1
0.398341,-0.0622,-0.0814,0.6656,0.0480,-0.3256,0.1692,1
0.401664,-0.0479,-0.0622,0.6177,0.0485,-0.3267,0.1721,1
0.404754,-0.0718,-0.0670,0.6416,0.0504,-0.3262,0.1753,1
0.408536,-0.0766,-0.0670,0.5746,0.0528,-0.3238,0.1759,1
0.414084,-0.0287,-0.0958,0.5986,0.0525,-0.3214,0.1767,1
0.417458,-0.0335,-0.1101,0.6752,0.0488,-0.3200,0.1708,1
0.422416,-0.0096,-0.1389,0.6416,0.0549,-0.3187,0.1737,1
0.426414,-0.0431,-0.1341,0.6129,0.0530,-0.3166,0.1740,1
0.429586,-0.0575,-0.0575,0.6081,0.0485,-0.3123,0.1703,1
0.432781,-0.0527,-0.0862,0.6177,0.0533,-0.3110,0.1737,1
0.436306,-0.0718,-0.1053,0.6369,0.0578,-0.3126,0.1727,1
0.441232,-0.0670,-0.0718,0.6177,0.0552,-0.3126,0.1727,1
0.445141,-0.0144,-0.0862,0.5363,0.0514,-0.3102,0.1719,1
0.448604,-0.1293,-0.0862,0.6081,0.0530,-0.3051,0.1708,1
0.452894,-0.0575,-0.0862,0.6321,0.0570,-0.3048,0.1684,1
0.458962,-0.1293,-0.0910,0.6512,0.0592,-0.3030,0.1673,0
0.462367,-0.0527,-0.1341,0.6129,0.0541,-0.3014,0.1689,0
0.466056,-0.1006,-0.1484,0.6129,0.0536,-0.3016,0.1713,0
0.469249,-0.0862,-0.0958,0.6033,0.0584,-0.2976,0.1673,0
0.472671,-0.0383,-0.0670,0.6704,0.0576,-0.2896,0.1697,0
0.477255,-0.0814,-0.1006,0.6512,0.0581,-0.2886,0.1687,0
0.481092,-0.0766,-0.0910,0.6081,0.0594,-0.2955,0.1689,0
0.484551,-0.0670,-0.0670,0.6416,0.0557,-0.2883,0.1676,0
0.489880,-0.0910,-0.0958,0.5890,0.0600,-0.2811,0.1676,0
0.494089,-0.1101,-0.1006,0.6512,0.0573,-0.2840,0.1687,0
0.497419,-0.0766,-0.1245,0.6273,0.0576,-0.2793,0.1673,0
0.500701,-0.0718,-0.1006,0.6847,0.0466,-0.2758,0.1687,0
0.504858,-0.0622,-0.0527,0.6081,0.0584,-0.2737,0.1692,0
0.510257,-0.0766,-0.0814,0.6512,0.0498,-0.2723,0.1679,0
0.514416,-0.1724,-0.0862,0.7374,0.0592,-0.2638,0.1692,0
