frame,sensor_ts_s,t_s
0,128.352360,-1.232650
1,128.369009,-1.216001
2,128.385667,-1.199343
3,128.402317,-1.182693
4,128.418971,-1.166039
5,128.435619,-1.149391
6,128.452274,-1.132736
7,128.468922,-1.116088
8,128.485579,-1.099431
9,128.502227,-1.082783
10,128.518883,-1.066127
11,128.535533,-1.049477
12,128.552190,-1.032820
13,128.568835,-1.016175
14,128.585491,-0.999519
15,128.602140,-0.982870
16,128.618793,-0.966217
17,128.635446,-0.949564
18,128.652097,-0.932913
19,128.668750,-0.916260
20,128.685402,-0.899608
21,128.702052,-0.882958
22,128.718705,-0.866305
23,128.735355,-0.849655
24,128.752011,-0.832999
25,128.768658,-0.816352
26,128.785312,-0.799698
27,128.801968,-0.783042
28,128.818617,-0.766393
29,128.835268,-0.749742
30,128.851924,-0.733086
31,128.868570,-0.716440
32,128.885225,-0.699785
33,128.901871,-0.683139
34,128.918528,-0.666482
35,128.935177,-0.649833
36,128.951833,-0.633177
37,128.968480,-0.616530
38,128.985135,-0.599875
39,129.001783,-0.583227
40,129.018439,-0.566571
41,129.035086,-0.549924
42,129.051750,-0.533260
43,129.068389,-0.516621
44,129.085044,-0.499966
45,129.101691,-0.483319
46,129.118350,-0.466660
47,129.134998,-0.450012
48,129.151651,-0.433359
49,129.168302,-0.416708
50,129.184959,-0.400051
51,129.201605,-0.383405
52,129.218260,-0.366750
53,129.234910,-0.350100
54,129.251563,-0.333447
55,129.268211,-0.316799
56,129.284867,-0.300143
57,129.301514,-0.283496
58,129.318169,-0.266841
59,129.334820,-0.250190
60,129.351475,-0.233535
61,129.368122,-0.216888
62,129.384778,-0.200232
63,129.401425,-0.183585
64,129.418082,-0.166928
65,129.434731,-0.150279
66,129.451385,-0.133625
67,129.468033,-0.116977
68,129.484689,-0.100321
69,129.501337,-0.083673
70,129.517993,-0.067017
71,129.534641,-0.050369
72,129.551293,-0.033717
73,129.567942,-0.017068
74,129.584596,-0.000414
75,129.601245,0.016235
76,129.617902,0.032892
77,129.634557,0.049547
78,129.651211,0.066201
79,129.667857,0.082847
80,129.684508,0.099498
81,129.701159,0.116149
82,129.717811,0.132801
83,129.734468,0.149458
84,129.751116,0.166106
85,129.767771,0.182761
86,129.784421,0.199411
87,129.801077,0.216067
88,129.817723,0.232713
89,129.834380,0.249370
90,129.851024,0.266014
91,129.867679,0.282669
92,129.884328,0.299318
93,129.900981,0.315971
94,129.917633,0.332623
95,129.934289,0.349279
96,129.950936,0.365926
97,129.967588,0.382578
98,129.984240,0.399230
99,130.000893,0.415883
100,130.017540,0.432530
101,130.034194,0.449184
102,130.050846,0.465836
103,130.067499,0.482489
104,130.084148,0.499138
105,130.100804,0.515794
106,130.117455,0.532445
107,130.134104,0.549094
108,130.150760,0.565750
109,130.167407,0.582397
110,130.184070,0.599060
111,130.200710,0.615700
112,130.217365,0.632355
113,130.234014,0.649004
114,130.250668,0.665658
115,130.267318,0.682308
116,130.283969,0.698959
117,130.300620,0.715610
118,130.317274,0.732264
119,130.333924,0.748914
120,130.350578,0.765568
121,130.367228,0.782218
122,130.383879,0.798869
123,130.400530,0.815520
124,130.417184,0.832174
125,130.433838,0.848828
126,130.450485,0.865475
127,130.467138,0.882128
128,130.483787,0.898777
129,130.500444,0.915434
130,130.517093,0.932083
131,130.533746,0.948736
132,130.550395,0.965385
133,130.567049,0.982039
134,130.583701,0.998691
135,130.600352,1.015342
136,130.617003,1.031993
137,130.633652,1.048642
138,130.650308,1.065298
139,130.666961,1.081951
140,130.683607,1.098597
141,130.700261,1.115251
142,130.716914,1.131904
143,130.733567,1.148557
144,130.750216,1.165206
145,130.766866,1.181856
146,130.783516,1.198506
147,130.800170,1.215160
148,130.816820,1.231810
149,130.833472,1.248462
150,130.850127,1.265117
151,130.866779,1.281769
152,130.883427,1.298417
153,130.900082,1.315072
154,130.916731,1.331721
155,130.933384,1.348374
156,130.950034,1.365024
157,130.966686,1.381676
158,130.983339,1.398329
159,130.999994,1.414984
160,131.016641,1.431631
161,131.033293,1.448283
162,131.049945,1.464935
163,131.066598,1.481588
164,131.083246,1.498236
165,131.099898,1.514888
166,131.116555,1.531545
167,131.133203,1.548193
168,131.149854,1.564844
169,131.166504,1.581494
170,131.183159,1.598149
171,131.199814,1.614804
172,131.216459,1.631449
173,131.233110,1.648100
174,131.249772,1.664762
175,131.266420,1.681410
176,131.283068,1.698058
177,131.299718,1.714708
178,131.316368,1.731358
179,131.333023,1.748013
180,131.349672,1.764662
181,131.366326,1.781316
182,131.382978,1.797968
183,131.399626,1.814616
184,131.416281,1.831271
185,131.432932,1.847922
186,131.449581,1.864571
187,131.466233,1.881223
188,131.482883,1.897873
189,131.499538,1.914528
190,131.516189,1.931179
191,131.532845,1.947835
192,131.549492,1.964482
193,131.566143,1.981133
194,131.582795,1.997785
195,131.599448,2.014438
196,131.616100,2.031090
197,131.632750,2.047740
198,131.649402,2.064392
199,131.666056,2.081046
200,131.682705,2.097695
201,131.699359,2.114349
202,131.716014,2.131004
203,131.732664,2.147654
204,131.749311,2.164301
205,131.765963,2.180953
206,131.782615,2.197605
207,131.799270,2.214260
208,131.815917,2.230907
209,131.832574,2.247564
210,131.849223,2.264213
211,131.865873,2.280863
212,131.882525,2.297515
213,131.899176,2.314166
214,131.915828,2.330818
215,131.932481,2.347471
216,131.949131,2.364121
217,131.965789,2.380779
